clock,pid,state,cpu_done,cpu_total,io_done,io_total
18,3,WAITING,2,57,8,64
18,4,WAITING,4,85,4,65
18,5,WAITING,2,39,2,77
18,6,RUNNING,2,50,0,180
19,7,READY,0,56,0,104
19,8,READY,0,46,0,94
19,9,READY,0,56,0,152
19,10,READY,0,56,0,142
19,1,WAITING,4,43,15,154
19,2,WAITING,4,21,11,93
19,3,WAITING,2,57,9,64
19,4,WAITING,4,85,5,65
19,5,WAITING,2,39,3,77
19,6,RUNNING,3,50,0,180
20,7,READY,0,56,0,104
20,8,READY,0,46,0,94
20,9,READY,0,56,0,152
20,10,READY,0,56,0,142
20,1,WAITING,4,43,16,154
20,2,WAITING,4,21,12,93
20,3,WAITING,2,57,10,64
20,4,WAITING,4,85,6,65
20,5,WAITING,2,39,4,77
20,6,WAITING,4,50,0,180
21,8,READY,0,46,0,94
21,9,READY,0,56,0,152
21,10,READY,0,56,0,142
21,1,WAITING,4,43,17,154
21,2,WAITING,4,21,13,93
21,3,WAITING,2,57,11,64
21,4,WAITING,4,85,7,65
21,5,WAITING,2,39,5,77
21,6,WAITING,4,50,1,180
21,7,RUNNING,1,56,0,104
22,8,READY,0,46,0,94
22,9,READY,0,56,0,152
22,10,READY,0,56,0,142
22,1,WAITING,4,43,18,154
22,2,WAITING,4,21,14,93
22,3,WAITING,2,57,12,64
22,4,WAITING,4,85,8,65
22,5,WAITING,2,39,6,77
22,6,WAITING,4,50,2,180
22,7,RUNNING,2,56,0,104
23,8,READY,0,46,0,94
23,9,READY,0,56,0,152
23,10,READY,0,56,0,142
23,1,WAITING,4,43,19,154
23,2,WAITING,4,21,15,93
23,3,WAITING,2,57,13,64
23,4,WAITING,4,85,9,65
23,5,WAITING,2,39,7,77
23,6,WAITING,4,50,3,180
23,7,RUNNING,3,56,0,104
24,8,READY,0,46,0,94
24,9,READY,0,56,0,152
24,10,READY,0,56,0,142
24,1,WAITING,4,43,20,154
24,2,WAITING,4,21,16,93
24,3,WAITING,2,57,14,64
24,4,WAITING,4,85,10,65
24,5,WAITING,2,39,8,77
24,6,WAITING,4,50,4,180
24,7,WAITING,4,56,0,104
25,9,READY,0,56,0,152
25,10,READY,0,56,0,142
25,1,WAITING,4,43,21,154
25,2,WAITING,4,21,17,93
25,3,WAITING,2,57,15,64
25,4,WAITING,4,85,11,65
25,5,WAITING,2,39,9,77
25,6,WAITING,4,50,5,180
25,7,WAITING,4,56,1,104
25,8,RUNNING,1,46,0,94
26,9,READY,0,56,0,152
26,10,READY,0,56,0,142
26,1,WAITING,4,43,22,154
26,2,WAITING,4,21,18,93
26,3,WAITING,2,57,16,64
26,4,WAITING,4,85,12,65
