clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,1,9,0,0
3,1,9,0,0
4,-1,9,1,0
5,2,8,1,0
6,2,8,1,0
7,2,8,1,0
8,-1,8,2,0
9,3,7,2,0
10,-1,7,3,0
11,4,6,3,0
12,4,6,3,0
13,4,6,3,0
14,-1,6,4,0
15,5,5,4,0
16,-1,5,5,0
17,6,4,5,0
18,6,4,5,0
19,6,4,5,0
20,-1,4,6,0
21,7,3,6,0
22,7,3,6,0
23,7,3,6,0
24,-1,3,7,0
25,8,2,7,0
26,8,2,7,0
27,8,2,7,0
28,-1,2,8,0
29,9,1,8,0
30,9,1,8,0
31,9,1,8,0
32,-1,1,9,0
33,10,0,9,0
34,10,0,9,0
35,10,0,9,0
36,-1,0,10,0
37,-1,0,10,0
38,-1,0,10,0
39,-1,0,10,0
40,-1,0,10,0
41,-1,0,10,0
42,-1,0,10,0
43,-1,0,10,0
44,-1,0,10,0
45,-1,0,10,0
46,-1,0,10,0
47,-1,0,10,0
48,-1,0,10,0
49,-1,0,10,0
50,-1,0,10,0
51,-1,0,10,0
52,-1,0,10,0
53,-1,0,10,0
54,-1,0,10,0
55,-1,0,10,0
56,-1,0,10,0
57,-1,0,10,0
58,-1,0,10,0
59,-1,0,10,0
60,-1,0,10,0
61,-1,0,10,0
62,-1,0,10,0
63,-1,0,10,0
64,-1,0,10,0
65,-1,0,10,0
66,-1,0,10,0
67,-1,0,10,0
68,-1,0,10,0
69,-1,0,10,0
70,-1,0,10,0
71,-1,0,10,0
72,-1,0,10,0
73,-1,0,10,0
74,3,0,9,0
75,3,0,9,0
76,3,0,9,0
77,3,0,9,0
78,3,0,9,0
79,3,1,8,0
80,3,1,8,0
81,3,1,8,0
82,3,1,8,0
83,3,1,8,0
84,3,1,8,0
85,3,1,8,0
86,3,1,8,0
87,3,1,8,0
88,3,1,8,0
89,3,1,8,0
90,3,1,8,0
91,3,1,8,0
92,3,1,8,0
93,3,2,7,0
94,3,2,7,0
95,3,2,7,0
96,3,2,7,0
97,3,2,7,0
98,3,2,7,0
99,3,2,7,0
100,3,2,7,0
101,3,3,6,0
102,3,3,6,0
103,3,3,6,0
104,3,3,6,0
105,3,3,6,0
106,3,3,6,0
107,3,3,6,0
108,3,3,6,0
109,3,3,6,0
110,3,3,6,0
111,3,3,6,0
112,3,3,6,0
113,3,3,6,0
114,3,3,6,0
115,3,3,6,0
116,3,3,6,0
117,3,3,6,0
118,3,3,6,0
119,3,3,6,0
120,3,3,6,0
121,3,3,6,0
122,3,4,5,0
123,3,4,5,0
124,3,4,5,0
125,3,4,5,0
126,3,4,5,0
127,3,4,5,0
128,-1,5,4,1
129,4,4,4,1
130,4,4,4,1
131,4,4,4,1
132,4,4,4,1
133,4,4,4,1
134,4,4,4,1
135,4,4,4,1
136,4,4,4,1
137,4,4,4,1
138,4,4,4,1
139,4,4,4,1
140,4,4,4,1
141,4,4,4,1
142,4,4,4,1
143,4,4,4,1
144,4,4,4,1
145,4,4,4,1
146,4,4,4,1
147,4,4,4,1
148,4,4,4,1
149,4,4,4,1
150,4,4,4,1
151,4,4,4,1
152,4,4,4,1
153,4,4,4,1
154,4,4,4,1
155,4,4,4,1
156,4,4,4,1
157,4,4,4,1
158,4,5,3,1
159,4,5,3,1
160,4,5,3,1
161,4,5,3,1
162,4,5,3,1
163,4,5,3,1
164,4,5,3,1
165,4,5,3,1
166,4,5,3,1
167,4,5,3,1
168,4,5,3,1
169,4,5,3,1
170,4,5,3,1
171,4,5,3,1
172,4,5,3,1
173,4,5,3,1
174,4,5,3,1
175,4,5,3,1
176,4,5,3,1
177,4,5,3,1
178,4,6,2,1
179,4,6,2,1
180,4,6,2,1
181,4,6,2,1
182,4,6,2,1
183,4,6,2,1
184,4,7,1,1
185,4,7,1,1
186,4,7,1,1
187,4,7,1,1
188,4,7,1,1
189,4,7,1,1
190,4,7,1,1
191,4,7,1,1
192,4,7,1,1
193,4,7,1,1
194,4,7,1,1
195,4,7,1,1
196,4,7,1,1
197,4,7,1,1
198,4,7,1,1
199,4,7,1,1
200,4,8,0,1
201,4,8,0,1
202,4,8,0,1
203,4,8,0,1
204,4,8,0,1
205,4,8,0,1
206,4,8,0,1
207,4,8,0,1
208,4,8,0,1
209,-1,8,0,2
210,5,7,0,2
211,5,7,0,2
212,5,7,0,2
213,5,7,0,2
214,5,7,0,2
215,5,7,0,2
216,5,7,0,2
217,5,7,0,2
218,5,7,0,2
219,5,7,0,2
220,5,7,0,2
221,5,7,0,2
222,5,7,0,2
223,5,7,0,2
224,5,7,0,2
225,5,7,0,2
226,5,7,0,2
227,5,7,0,2
228,5,7,0,2
229,5,7,0,2
230,5,7,0,2
231,5,7,0,2
232,5,7,0,2
233,5,7,0,2
234,5,7,0,2
235,5,7,0,2
236,5,7,0,2
237,5,7,0,2
238,5,7,0,2
239,5,7,0,2
240,5,7,0,2
241,5,7,0,2
242,5,7,0,2
243,5,7,0,2
244,5,7,0,2
245,5,7,0,2
246,-1,7,0,3
247,2,6,0,3
248,2,6,0,3
249,2,6,0,3
250,2,6,0,3
251,2,6,0,3
252,2,6,0,3
253,2,6,0,3
254,2,6,0,3
255,2,6,0,3
256,2,6,0,3
257,2,6,0,3
258,2,6,0,3
259,2,6,0,3
260,2,6,0,3
261,2,6,0,3
262,2,6,0,3
263,-1,6,0,4
264,8,5,0,4
265,8,5,0,4
266,8,5,0,4
267,8,5,0,4
268,8,5,0,4
269,8,5,0,4
270,8,5,0,4
271,8,5,0,4
272,8,5,0,4
273,8,5,0,4
274,8,5,0,4
275,8,5,0,4
276,8,5,0,4
277,8,5,0,4
278,8,5,0,4
279,8,5,0,4
280,8,5,0,4
281,8,5,0,4
282,8,5,0,4
283,8,5,0,4
284,8,5,0,4
285,8,5,0,4
286,8,5,0,4
287,8,5,0,4
288,8,5,0,4
289,8,5,0,4
290,8,5,0,4
291,8,5,0,4
292,8,5,0,4
293,8,5,0,4
294,8,5,0,4
295,8,5,0,4
296,8,5,0,4
297,8,5,0,4
298,8,5,0,4
299,8,5,0,4
300,8,5,0,4
301,8,5,0,4
302,8,5,0,4
303,8,5,0,4
304,8,5,0,4
305,-1,5,0,5
306,7,4,0,5
307,7,4,0,5
308,7,4,0,5
309,7,4,0,5
310,7,4,0,5
311,7,4,0,5
312,7,4,0,5
313,7,4,0,5
314,7,4,0,5
315,7,4,0,5
316,7,4,0,5
317,7,4,0,5
318,7,4,0,5
319,7,4,0,5
320,7,4,0,5
321,7,4,0,5
322,7,4,0,5
323,7,4,0,5
324,7,4,0,5
325,7,4,0,5
326,7,4,0,5
327,7,4,0,5
328,7,4,0,5
329,7,4,0,5
330,7,4,0,5
331,7,4,0,5
332,7,4,0,5
333,7,4,0,5
334,7,4,0,5
335,7,4,0,5
336,7,4,0,5
337,7,4,0,5
338,7,4,0,5
339,7,4,0,5
340,7,4,0,5
341,7,4,0,5
342,7,4,0,5
343,7,4,0,5
344,7,4,0,5
345,7,4,0,5
346,7,4,0,5
347,7,4,0,5
348,7,4,0,5
349,7,4,0,5
350,7,4,0,5
351,7,4,0,5
352,7,4,0,5
353,7,4,0,5
354,7,4,0,5
355,7,4,0,5
356,7,4,0,5
357,-1,4,0,6
358,1,3,0,6
359,1,3,0,6
360,1,3,0,6
361,1,3,0,6
362,1,3,0,6
363,1,3,0,6
364,1,3,0,6
365,1,3,0,6
366,1,3,0,6
367,1,3,0,6
368,1,3,0,6
369,1,3,0,6
370,1,3,0,6
371,1,3,0,6
372,1,3,0,6
373,1,3,0,6
374,1,3,0,6
375,1,3,0,6
376,1,3,0,6
377,1,3,0,6
378,1,3,0,6
379,1,3,0,6
380,1,3,0,6
381,1,3,0,6
382,1,3,0,6
383,1,3,0,6
384,1,3,0,6
385,1,3,0,6
386,1,3,0,6
387,1,3,0,6
388,1,3,0,6
389,1,3,0,6
390,1,3,0,6
391,1,3,0,6
392,1,3,0,6
393,1,3,0,6
394,1,3,0,6
395,1,3,0,6
396,-1,3,0,7
397,10,2,0,7
398,10,2,0,7
399,10,2,0,7
400,10,2,0,7
401,10,2,0,7
402,10,2,0,7
403,10,2,0,7
404,10,2,0,7
405,10,2,0,7
406,10,2,0,7
407,10,2,0,7
408,10,2,0,7
409,10,2,0,7
410,10,2,0,7
411,10,2,0,7
412,10,2,0,7
413,10,2,0,7
414,10,2,0,7
415,10,2,0,7
416,10,2,0,7
417,10,2,0,7
418,10,2,0,7
419,10,2,0,7
420,10,2,0,7
421,10,2,0,7
422,10,2,0,7
423,10,2,0,7
424,10,2,0,7
425,10,2,0,7
426,10,2,0,7
427,10,2,0,7
428,10,2,0,7
429,10,2,0,7
430,10,2,0,7
431,10,2,0,7
432,10,2,0,7
433,10,2,0,7
434,10,2,0,7
435,10,2,0,7
436,10,2,0,7
437,10,2,0,7
438,10,2,0,7
439,10,2,0,7
440,10,2,0,7
441,10,2,0,7
442,10,2,0,7
443,10,2,0,7
444,10,2,0,7
445,10,2,0,7
446,10,2,0,7
447,10,2,0,7
448,-1,2,0,8
449,9,1,0,8
450,9,1,0,8
451,9,1,0,8
452,9,1,0,8
453,9,1,0,8
454,9,1,0,8
455,9,1,0,8
456,9,1,0,8
457,9,1,0,8
458,9,1,0,8
459,9,1,0,8
460,9,1,0,8
461,9,1,0,8
462,9,1,0,8
463,9,1,0,8
464,9,1,0,8
465,9,1,0,8
466,9,1,0,8
467,9,1,0,8
468,9,1,0,8
469,9,1,0,8
470,9,1,0,8
471,9,1,0,8
472,9,1,0,8
473,9,1,0,8
474,9,1,0,8
475,9,1,0,8
476,9,1,0,8
477,9,1,0,8
478,9,1,0,8
479,9,1,0,8
480,9,1,0,8
481,9,1,0,8
482,9,1,0,8
483,9,1,0,8
484,9,1,0,8
485,9,1,0,8
486,9,1,0,8
487,9,1,0,8
488,9,1,0,8
489,9,1,0,8
490,9,1,0,8
491,9,1,0,8
492,9,1,0,8
493,9,1,0,8
494,9,1,0,8
495,9,1,0,8
496,9,1,0,8
497,9,1,0,8
498,9,1,0,8
499,9,1,0,8
500,-1,1,0,9
501,6,0,0,9
502,6,0,0,9
503,6,0,0,9
504,6,0,0,9
505,6,0,0,9
506,6,0,0,9
507,6,0,0,9
508,6,0,0,9
509,6,0,0,9
510,6,0,0,9
511,6,0,0,9
512,6,0,0,9
513,6,0,0,9
514,6,0,0,9
515,6,0,0,9
516,6,0,0,9
517,6,0,0,9
518,6,0,0,9
519,6,0,0,9
520,6,0,0,9
521,6,0,0,9
522,6,0,0,9
523,6,0,0,9
524,6,0,0,9
525,6,0,0,9
526,6,0,0,9
527,6,0,0,9
528,6,0,0,9
529,6,0,0,9
530,6,0,0,9
531,6,0,0,9
532,6,0,0,9
533,6,0,0,9
534,6,0,0,9
535,6,0,0,9
536,6,0,0,9
537,6,0,0,9
538,6,0,0,9
539,6,0,0,9
540,6,0,0,9
541,6,0,0,9
542,6,0,0,9
543,6,0,0,9
544,6,0,0,9
545,6,0,0,9
546,-1,0,0,10
