clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,80,0,20
1,3,READY,0,134,0,11
1,4,READY,0,60,0,145
1,5,READY,0,166,0,22
1,6,READY,0,149,0,26
1,7,READY,0,97,0,35
1,8,READY,0,21,0,190
1,9,READY,0,159,0,30
1,10,READY,0,130,0,17
1,1,RUNNING,1,117,0,23
2,2,READY,0,80,0,20
2,3,READY,0,134,0,11
2,4,READY,0,60,0,145
2,5,READY,0,166,0,22
2,6,READY,0,149,0,26
2,7,READY,0,97,0,35
2,8,READY,0,21,0,190
2,9,READY,0,159,0,30
2,10,READY,0,130,0,17
2,1,RUNNING,2,117,0,23
3,2,READY,0,80,0,20
3,3,READY,0,134,0,11
3,4,READY,0,60,0,145
3,5,READY,0,166,0,22
3,6,READY,0,149,0,26
3,7,READY,0,97,0,35
3,8,READY,0,21,0,190
3,9,READY,0,159,0,30
3,10,READY,0,130,0,17
3,1,RUNNING,3,117,0,23
4,2,READY,0,80,0,20
4,3,READY,0,134,0,11
4,4,READY,0,60,0,145
4,5,READY,0,166,0,22
4,6,READY,0,149,0,26
4,7,READY,0,97,0,35
4,8,READY,0,21,0,190
4,9,READY,0,159,0,30
4,10,READY,0,130,0,17
4,1,RUNNING,4,117,0,23
5,2,READY,0,80,0,20
5,3,READY,0,134,0,11
5,4,READY,0,60,0,145
5,5,READY,0,166,0,22
5,6,READY,0,149,0,26
5,7,READY,0,97,0,35
5,8,READY,0,21,0,190
5,9,READY,0,159,0,30
5,10,READY,0,130,0,17
5,1,RUNNING,5,117,0,23
6,2,READY,0,80,0,20
6,3,READY,0,134,0,11
6,4,READY,0,60,0,145
6,5,READY,0,166,0,22
6,6,READY,0,149,0,26
6,7,READY,0,97,0,35
6,8,READY,0,21,0,190
6,9,READY,0,159,0,30
6,10,READY,0,130,0,17
6,1,RUNNING,6,117,0,23
7,2,READY,0,80,0,20
7,3,READY,0,134,0,11
7,4,READY,0,60,0,145
7,5,READY,0,166,0,22
7,6,READY,0,149,0,26
7,7,READY,0,97,0,35
7,8,READY,0,21,0,190
7,9,READY,0,159,0,30
7,10,READY,0,130,0,17
7,1,RUNNING,7,117,0,23
8,2,READY,0,80,0,20
8,3,READY,0,134,0,11
8,4,READY,0,60,0,145
8,5,READY,0,166,0,22
8,6,READY,0,149,0,26
8,7,READY,0,97,0,35
8,8,READY,0,21,0,190
8,9,READY,0,159,0,30
8,10,READY,0,130,0,17
8,1,RUNNING,8,117,0,23
9,2,READY,0,80,0,20
9,3,READY,0,134,0,11
9,4,READY,0,60,0,145
9,5,READY,0,166,0,22
